# Stack: robot|Calibration (frames=51, fps=50.000)
time=0.220000s frame=11 bone=FR_hip_joint angle_deg=-45.131627
time=0.220000s frame=11 bone=FR_thigh_joint angle_deg=-54.064502
time=0.220000s frame=11 bone=FR_calf_joint angle_deg=-142.617702
time=0.220000s frame=11 bone=FL_hip_joint angle_deg=-45.131631
time=0.220000s frame=11 bone=FL_thigh_joint angle_deg=-54.066032
time=0.220000s frame=11 bone=FL_calf_joint angle_deg=-142.617689
time=0.240000s frame=12 bone=RR_hip_joint angle_deg=-42.581857
time=0.240000s frame=12 bone=RR_thigh_joint angle_deg=12.094397
time=0.240000s frame=12 bone=RR_calf_joint angle_deg=-140.322934
time=0.240000s frame=12 bone=RL_hip_joint angle_deg=-42.581861
time=0.240000s frame=12 bone=RL_thigh_joint angle_deg=12.094381
time=0.240000s frame=12 bone=RL_calf_joint angle_deg=-140.322950
time=0.240000s frame=12 bone=FR_hip_joint angle_deg=-42.581857
time=0.240000s frame=12 bone=FR_thigh_joint angle_deg=-47.902472
time=0.240000s frame=12 bone=FR_calf_joint angle_deg=-140.322933
time=0.240000s frame=12 bone=FL_hip_joint angle_deg=-42.581861
time=0.240000s frame=12 bone=FL_thigh_joint angle_deg=-47.904026
time=0.240000s frame=12 bone=FL_calf_joint angle_deg=-140.322935
time=0.260000s frame=13 bone=RR_hip_joint angle_deg=-39.882341
time=0.260000s frame=13 bone=RR_thigh_joint angle_deg=18.618308
time=0.260000s frame=13 bone=RR_calf_joint angle_deg=-137.893368
time=0.260000s frame=13 bone=RL_hip_joint angle_deg=-39.882329
time=0.260000s frame=13 bone=RL_thigh_joint angle_deg=18.618287
time=0.260000s frame=13 bone=RL_calf_joint angle_deg=-137.893401
time=0.260000s frame=13 bone=FR_hip_joint angle_deg=-39.882341
time=0.260000s frame=13 bone=FR_thigh_joint angle_deg=-41.378534
time=0.260000s frame=13 bone=FR_calf_joint angle_deg=-137.893383
time=0.260000s frame=13 bone=FL_hip_joint angle_deg=-39.882329
time=0.260000s frame=13 bone=FL_thigh_joint angle_deg=-41.380108
time=0.260000s frame=13 bone=FL_calf_joint angle_deg=-137.893385
time=0.280000s frame=14 bone=RR_hip_joint angle_deg=-37.044561
time=0.280000s frame=14 bone=RR_thigh_joint angle_deg=25.476279
time=0.280000s frame=14 bone=RR_calf_joint angle_deg=-135.339413
time=0.280000s frame=14 bone=RL_hip_joint angle_deg=-37.044564
time=0.280000s frame=14 bone=RL_thigh_joint angle_deg=25.476258
time=0.280000s frame=14 bone=RL_calf_joint angle_deg=-135.339431
time=0.280000s frame=14 bone=FR_hip_joint angle_deg=-37.044561
time=0.280000s frame=14 bone=FR_thigh_joint angle_deg=-34.520515
time=0.280000s frame=14 bone=FR_calf_joint angle_deg=-135.339413
time=0.280000s frame=14 bone=FL_hip_joint angle_deg=-37.044564
time=0.280000s frame=14 bone=FL_thigh_joint angle_deg=-34.522116
time=0.280000s frame=14 bone=FL_calf_joint angle_deg=-135.339414
time=0.300000s frame=15 bone=RR_hip_joint angle_deg=-34.080079
time=0.300000s frame=15 bone=RR_thigh_joint angle_deg=32.640509
time=0.300000s frame=15 bone=RR_calf_joint angle_deg=-132.671414
time=0.300000s frame=15 bone=RL_hip_joint angle_deg=-34.080087
time=0.300000s frame=15 bone=RL_thigh_joint angle_deg=32.640486
time=0.300000s frame=15 bone=RL_calf_joint angle_deg=-132.671432
time=0.300000s frame=15 bone=FR_hip_joint angle_deg=-34.080079
time=0.300000s frame=15 bone=FR_thigh_joint angle_deg=-27.356281
time=0.300000s frame=15 bone=FR_calf_joint angle_deg=-132.671413
time=0.300000s frame=15 bone=FL_hip_joint angle_deg=-34.080087
time=0.300000s frame=15 bone=FL_thigh_joint angle_deg=-27.357875
time=0.300000s frame=15 bone=FL_calf_joint angle_deg=-132.671415
time=0.320000s frame=16 bone=RR_hip_joint angle_deg=-31.000398
time=0.320000s frame=16 bone=RR_thigh_joint angle_deg=40.083121
time=0.320000s frame=16 bone=RR_calf_joint angle_deg=-129.899714
time=0.320000s frame=16 bone=RL_hip_joint angle_deg=-31.000394
time=0.320000s frame=16 bone=RL_thigh_joint angle_deg=40.083117
time=0.320000s frame=16 bone=RL_calf_joint angle_deg=-129.899749
time=0.320000s frame=16 bone=FR_hip_joint angle_deg=-31.000398
time=0.320000s frame=16 bone=FR_thigh_joint angle_deg=-19.913651
time=0.320000s frame=16 bone=FR_calf_joint angle_deg=-129.899731
time=0.320000s frame=16 bone=FL_hip_joint angle_deg=-31.000394
time=0.320000s frame=16 bone=FL_thigh_joint angle_deg=-19.915250
time=0.320000s frame=16 bone=FL_calf_joint angle_deg=-129.899717
time=0.340000s frame=17 bone=RR_hip_joint angle_deg=-27.817037
time=0.340000s frame=17 bone=RR_thigh_joint angle_deg=47.776312
time=0.340000s frame=17 bone=RR_calf_joint angle_deg=-127.034724
time=0.340000s frame=17 bone=RL_hip_joint angle_deg=-27.817033
time=0.340000s frame=17 bone=RL_thigh_joint angle_deg=47.776301
time=0.340000s frame=17 bone=RL_calf_joint angle_deg=-127.034744
time=0.340000s frame=17 bone=FR_hip_joint angle_deg=-27.817037
time=0.340000s frame=17 bone=FR_thigh_joint angle_deg=-12.220492
time=0.340000s frame=17 bone=FR_calf_joint angle_deg=-127.034725
time=0.340000s frame=17 bone=FL_hip_joint angle_deg=-27.817033
time=0.340000s frame=17 bone=FL_thigh_joint angle_deg=-12.222066
time=0.340000s frame=17 bone=FL_calf_joint angle_deg=-127.034727
time=0.360000s frame=18 bone=RR_hip_joint angle_deg=-24.541497
time=0.360000s frame=18 bone=RR_thigh_joint angle_deg=55.692221
time=0.360000s frame=18 bone=RR_calf_joint angle_deg=-124.086772
time=0.360000s frame=18 bone=RL_hip_joint angle_deg=-24.541501
time=0.360000s frame=18 bone=RL_thigh_joint angle_deg=55.692210
time=0.360000s frame=18 bone=RL_calf_joint angle_deg=-124.086807
time=0.360000s frame=18 bone=FR_hip_joint angle_deg=-24.541497
time=0.360000s frame=18 bone=FR_thigh_joint angle_deg=-4.304626
time=0.360000s frame=18 bone=FR_calf_joint angle_deg=-124.086773
time=0.360000s frame=18 bone=FL_hip_joint angle_deg=-24.541501
time=0.360000s frame=18 bone=FL_thigh_joint angle_deg=-4.306178
time=0.360000s frame=18 bone=FL_calf_joint angle_deg=-124.086790
time=0.380000s frame=19 bone=RR_hip_joint angle_deg=-21.185350
time=0.380000s frame=19 bone=RR_thigh_joint angle_deg=63.803000
time=0.380000s frame=19 bone=RR_calf_joint angle_deg=-121.066272
time=0.380000s frame=19 bone=RL_hip_joint angle_deg=-21.185331
time=0.380000s frame=19 bone=RL_thigh_joint angle_deg=63.803000
time=0.380000s frame=19 bone=RL_calf_joint angle_deg=-121.066276
time=0.380000s frame=19 bone=FR_hip_joint angle_deg=-21.185350
time=0.380000s frame=19 bone=FR_thigh_joint angle_deg=3.806113
time=0.380000s frame=19 bone=FR_calf_joint angle_deg=-121.066273
time=0.380000s frame=19 bone=FL_hip_joint angle_deg=-21.185331
time=0.380000s frame=19 bone=FL_thigh_joint angle_deg=3.804568
time=0.380000s frame=19 bone=FL_calf_joint angle_deg=-121.066259
time=0.400000s frame=20 bone=RR_hip_joint angle_deg=-17.760041
time=0.400000s frame=20 bone=RR_thigh_joint angle_deg=72.080862
time=0.400000s frame=20 bone=RR_calf_joint angle_deg=-117.983539
time=0.400000s frame=20 bone=RL_hip_joint angle_deg=-17.760045
time=0.400000s frame=20 bone=RL_thigh_joint angle_deg=72.080836
time=0.400000s frame=20 bone=RL_calf_joint angle_deg=-117.983558
time=0.400000s frame=20 bone=FR_hip_joint angle_deg=-17.760041
